Year,Tech company?,Employer provide mental health benefits?,Know options for mental health care?,Employer discussed mental health?,Employer offer mental health resources?,Anonymity if you  take advantage of mental health resources?,Easy/difficult to ask for mental health medical leave?,Comfortable discussing mental health with supervisor?,Discussed your mental health with your employer?,Employer importance placed on physical health?,Employer importance placed on mental health?,Tech industry supports employees with mental health issues?,Age,Gender,Country
2019,TRUE,Yes,No,Yes,Yes,I don't know,Difficult,No,FALSE,4,1,2,36,NB,United Kingdom
2019,TRUE,I don't know,No,Yes,I don't know,Yes,Very easy,Yes,FALSE,10,10,3,33,M,Switzerland
2019,TRUE,I don't know,No,No,I don't know,Yes,Somewhat easy,Maybe,FALSE,5,5,3,30,M,United States of America
2019,TRUE,I don't know,Yes,No,No,I don't know,Difficult,Maybe,TRUE,3,0,1,45,F,United States of America
2019,TRUE,Yes,No,Yes,Yes,I don't know,Very easy,Yes,FALSE,7,7,4,30,M,United States of America
2019,TRUE,Yes,No,No,No,I don't know,Somewhat difficult,No,FALSE,5,5,3,29,M,Portugal
2019,TRUE,I don't know,No,No,I don't know,I don't know,I don't know,No,FALSE,5,2,1,41,M,United States of America
2019,FALSE,Yes,Yes,No,No,Yes,Neither easy nor difficult,Maybe,FALSE,1,5,3,27,F,United States of America
2019,TRUE,Yes,Yes,No,Yes,Yes,Very easy,Yes,TRUE,8,8,2,42,M,United States of America
2019,TRUE,I don't know,No,No,No,I don't know,I don't know,Yes,FALSE,5,3,2,32,M,United States of America
2019,TRUE,I don't know,No,I don't know,I don't know,I don't know,Very easy,Yes,FALSE,6,5,4,32,M,United States of America
2019,TRUE,Yes,Yes,No,No,Yes,Very easy,No,FALSE,5,8,2,20,F,United States of America
2019,FALSE,I don't know,No,Yes,I don't know,I don't know,Very easy,Yes,FALSE,6,6,4,0,M,United States of America
2019,TRUE,I don't know,No,No,No,I don't know,Very easy,Yes,FALSE,7,7,3,38,M,United States of America
2019,TRUE,I don't know,Yes,No,No,I don't know,Neither easy nor difficult,Maybe,FALSE,8,5,3,31,M,United States of America
2019,TRUE,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,No,FALSE,3,1,4,26,M,United States of America
2019,TRUE,Yes,No,No,No,Yes,Somewhat easy,Yes,TRUE,5,6,4,40,M,United States of America
2019,FALSE,Yes,No,No,No,I don't know,Somewhat easy,Maybe,FALSE,7,7,2,30,M,United States of America
2019,FALSE,Yes,Yes,No,I don't know,I don't know,Very easy,Maybe,FALSE,0,0,1,38,M,United States of America
2019,TRUE,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Yes,TRUE,5,5,4,28,M,United States of America
2019,FALSE,Not eligible for coverage / NA,No,No,No,I don't know,Somewhat difficult,No,FALSE,2,1,2,28,F,Pakistan
2019,TRUE,Yes,No,No,Yes,I don't know,I don't know,No,TRUE,6,3,1,30,M,United States of America
2019,FALSE,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Yes,TRUE,7,5,3,23,NB,United States of America
2019,TRUE,I don't know,No,No,No,I don't know,I don't know,Yes,TRUE,10,3,5,30,M,United States of America
2019,FALSE,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Yes,TRUE,5,9,4,33,F,United States of America
2019,FALSE,Yes,Yes,No,No,Yes,Somewhat difficult,No,FALSE,10,4,3,53,F,United States of America
2019,FALSE,Yes,Yes,Yes,I don't know,Yes,Neither easy nor difficult,Maybe,TRUE,5,2,2,38,M,United States of America
2019,TRUE,No,N/A,No,No,I don't know,Somewhat easy,Maybe,FALSE,0,0,1,34,M,Poland
2019,FALSE,I don't know,No,No,I don't know,I don't know,Somewhat easy,Yes,FALSE,8,7,4,40,M,United States of America
2019,TRUE,Yes,No,No,I don't know,I don't know,I don't know,Yes,FALSE,7,5,4,42,M,United States of America
2019,TRUE,Yes,No,No,No,I don't know,Somewhat easy,Yes,TRUE,5,5,3,42,M,United States of America
2019,FALSE,Yes,Yes,No,Yes,I don't know,I don't know,Maybe,FALSE,8,5,3,38,M,Canada
2019,FALSE,Yes,Yes,No,Yes,Yes,Somewhat easy,Maybe,TRUE,6,6,2,33,NB,United States of America
2019,TRUE,Yes,Yes,I don't know,I don't know,Yes,I don't know,Maybe,FALSE,8,5,4,35,M,United States of America
2019,TRUE,No,N/A,No,No,I don't know,Somewhat easy,No,FALSE,6,2,2,27,F,Spain
2019,FALSE,Not eligible for coverage / NA,Yes,Yes,No,I don't know,Somewhat easy,Yes,TRUE,7,7,3,28,F,Turkey
2019,TRUE,No,No,No,No,No,Somewhat easy,No,FALSE,1,1,1,42,M,India
2019,TRUE,I don't know,N/A,No,No,I don't know,I don't know,Maybe,FALSE,5,5,4,35,F,Brazil
2019,FALSE,Yes,Yes,No,Yes,Yes,Somewhat difficult,No,FALSE,3,1,3,40,M,United States of America
2019,FALSE,Yes,Yes,Yes,No,I don't know,Somewhat difficult,No,FALSE,7,5,2,54,F,United States of America
2019,TRUE,Yes,No,No,No,I don't know,Very easy,Yes,FALSE,5,9,3,37,M,United States of America
2019,FALSE,Yes,Yes,I don't know,Yes,Yes,Somewhat difficult,No,TRUE,10,8,4,26,F,United States of America
2019,FALSE,I don't know,No,No,No,I don't know,I don't know,No,FALSE,6,0,1,37,M,Brazil
2019,FALSE,Yes,Yes,No,No,I don't know,Somewhat easy,No,FALSE,6,0,1,49,F,United States of America
2019,FALSE,I don't know,No,Yes,Yes,Yes,Somewhat easy,Maybe,FALSE,9,8,4,23,M,United States of America
2019,TRUE,Yes,No,Yes,Yes,Yes,Very easy,Yes,TRUE,8,8,3,42,F,United Kingdom
2019,TRUE,Yes,No,Yes,Yes,Yes,Difficult,No,TRUE,8,4,2,49,M,Netherlands
2019,TRUE,I don't know,No,Yes,Yes,I don't know,Somewhat difficult,No,FALSE,6,6,3,41,F,United Kingdom
2019,TRUE,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,TRUE,8,8,3,33,M,United Kingdom
2019,TRUE,Yes,Yes,Yes,I don't know,I don't know,Somewhat easy,Yes,TRUE,5,5,2,27,M,United States of America
2019,FALSE,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,No,FALSE,7,7,1,47,M,United Kingdom
2019,TRUE,I don't know,No,Yes,No,Yes,Somewhat difficult,Maybe,FALSE,8,3,2,28,M,United States of America
2019,TRUE,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,FALSE,6,4,1,49,F,Canada
2019,FALSE,I don't know,No,No,No,Yes,Somewhat difficult,No,FALSE,6,5,3,23,M,United Kingdom
2019,FALSE,Yes,Yes,Yes,I don't know,Yes,I don't know,Maybe,FALSE,10,6,1,23,NB,United States of America
2019,TRUE,No,N/A,I don't know,No,Yes,Very easy,Yes,TRUE,10,10,1,45,M,United States of America
2019,TRUE,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Yes,TRUE,6,7,2,29,M,United States of America
2019,TRUE,I don't know,No,No,I don't know,I don't know,Somewhat easy,Maybe,FALSE,3,3,1,40,M,United States of America
2019,TRUE,Yes,No,No,No,I don't know,I don't know,No,FALSE,2,2,2,32,M,United States of America
2019,TRUE,Yes,Yes,Yes,I don't know,I don't know,Difficult,Yes,TRUE,7,4,2,22,F,United States of America
