Year,Tech company?,Employer provide mental health benefits?,Know options for mental health care?,Employer discussed mental health?,Employer offer mental health resources?,Anonymity if you  take advantage of mental health resources?,Easy/difficult to ask for mental health medical leave?,Comfortable discussing mental health with supervisor?,Discussed your mental health with your employer?,Employer importance placed on physical health?,Employer importance placed on mental health?,Tech industry supports employees with mental health issues?,Age,Gender,Country
2019,True,Yes,Yes,I don't know,No,Yes,Somewhat easy,Yes,False,10.0,8.0,4.0,24,M,Portugal
2019,True,Yes,Yes,No,No,Yes,I don't know,Maybe,False,5.0,5.0,4.0,32,M,United States of America
2019,False,No,No,Yes,No,Yes,Very easy,Maybe,False,5.0,3.0,2.0,33,M,United Kingdom
2019,True,I don't know,No,I don't know,I don't know,I don't know,Somewhat easy,Maybe,False,6.0,5.0,3.0,39,M,United States of America
2019,False,Yes,Yes,No,Yes,I don't know,I don't know,No,False,7.0,5.0,3.0,26,F,United States of America
2019,True,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Maybe,False,7.0,7.0,3.0,32,F,United States of America
2019,True,Yes,No,Yes,Yes,Yes,Somewhat easy,Yes,False,7.0,7.0,3.0,42,M,United Kingdom
2019,True,Yes,Yes,No,Yes,I don't know,I don't know,No,False,10.0,8.0,2.0,41,M,United States of America
2019,True,Yes,Yes,Yes,No,I don't know,Somewhat difficult,No,False,8.0,4.0,2.0,32,M,Canada
2019,False,No,Yes,No,Yes,I don't know,I don't know,No,False,3.0,3.0,1.0,32,F,United States of America
2019,True,Yes,No,I don't know,Yes,I don't know,Very easy,Yes,False,7.0,8.0,3.0,31,F,United States of America
2019,True,Not eligible for coverage / NA,,No,No,I don't know,Somewhat easy,Maybe,False,8.0,7.0,3.0,34,NB,Switzerland
2019,True,Yes,No,Yes,Yes,I don't know,Difficult,No,False,4.0,1.0,2.0,36,NB,United Kingdom
2019,True,I don't know,No,Yes,I don't know,Yes,Very easy,Yes,False,10.0,10.0,3.0,33,M,Switzerland
2019,True,I don't know,No,No,I don't know,Yes,Somewhat easy,Maybe,False,5.0,5.0,3.0,30,M,United States of America
2019,True,I don't know,Yes,No,No,I don't know,Difficult,Maybe,True,3.0,0.0,1.0,45,F,United States of America
2019,True,Yes,No,Yes,Yes,I don't know,Very easy,Yes,False,7.0,7.0,4.0,30,M,United States of America
2019,True,Yes,No,No,No,I don't know,Somewhat difficult,No,False,5.0,5.0,3.0,29,M,Portugal
2019,True,I don't know,No,No,I don't know,I don't know,I don't know,No,False,5.0,2.0,1.0,41,M,United States of America
2019,False,Yes,Yes,No,No,Yes,Neither easy nor difficult,Maybe,False,1.0,5.0,3.0,27,F,United States of America
2019,True,Yes,Yes,No,Yes,Yes,Very easy,Yes,True,8.0,8.0,2.0,42,M,United States of America
2019,True,I don't know,No,No,No,I don't know,I don't know,Yes,False,5.0,3.0,2.0,32,M,United States of America
2019,True,I don't know,No,I don't know,I don't know,I don't know,Very easy,Yes,False,6.0,5.0,4.0,32,M,United States of America
2019,True,Yes,Yes,No,No,Yes,Very easy,No,False,5.0,8.0,2.0,20,F,United States of America
2019,False,I don't know,No,Yes,I don't know,I don't know,Very easy,Yes,False,6.0,6.0,4.0,0,M,United States of America
2019,True,I don't know,No,No,No,I don't know,Very easy,Yes,False,7.0,7.0,3.0,38,M,United States of America
2019,True,I don't know,Yes,No,No,I don't know,Neither easy nor difficult,Maybe,False,8.0,5.0,3.0,31,M,United States of America
2019,True,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,No,False,3.0,1.0,4.0,26,M,United States of America
2019,True,Yes,No,No,No,Yes,Somewhat easy,Yes,True,5.0,6.0,4.0,40,M,United States of America
2019,False,Yes,No,No,No,I don't know,Somewhat easy,Maybe,False,7.0,7.0,2.0,30,M,United States of America
2019,False,Yes,Yes,No,I don't know,I don't know,Very easy,Maybe,False,0.0,0.0,1.0,38,M,United States of America
2019,True,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Yes,True,5.0,5.0,4.0,28,M,United States of America
2019,False,Not eligible for coverage / NA,No,No,No,I don't know,Somewhat difficult,No,False,2.0,1.0,2.0,28,F,Pakistan
2019,True,Yes,No,No,Yes,I don't know,I don't know,No,True,6.0,3.0,1.0,30,M,United States of America
2019,False,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Yes,True,7.0,5.0,3.0,23,NB,United States of America
2019,True,I don't know,No,No,No,I don't know,I don't know,Yes,True,10.0,3.0,5.0,30,M,United States of America
2019,False,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Yes,True,5.0,9.0,4.0,33,F,United States of America
2019,False,Yes,Yes,No,No,Yes,Somewhat difficult,No,False,10.0,4.0,3.0,53,F,United States of America
2019,False,Yes,Yes,Yes,I don't know,Yes,Neither easy nor difficult,Maybe,True,5.0,2.0,2.0,38,M,United States of America
2019,True,No,,No,No,I don't know,Somewhat easy,Maybe,False,0.0,0.0,1.0,34,M,Poland
2019,False,I don't know,No,No,I don't know,I don't know,Somewhat easy,Yes,False,8.0,7.0,4.0,40,M,United States of America
2019,True,Yes,No,No,I don't know,I don't know,I don't know,Yes,False,7.0,5.0,4.0,42,M,United States of America
2019,True,Yes,No,No,No,I don't know,Somewhat easy,Yes,True,5.0,5.0,3.0,42,M,United States of America
2019,False,Yes,Yes,No,Yes,I don't know,I don't know,Maybe,False,8.0,5.0,3.0,38,M,Canada
2019,False,Yes,Yes,No,Yes,Yes,Somewhat easy,Maybe,True,6.0,6.0,2.0,33,NB,United States of America
2019,True,Yes,Yes,I don't know,I don't know,Yes,I don't know,Maybe,False,8.0,5.0,4.0,35,M,United States of America
2019,True,No,,No,No,I don't know,Somewhat easy,No,False,6.0,2.0,2.0,27,F,Spain
2019,False,Not eligible for coverage / NA,Yes,Yes,No,I don't know,Somewhat easy,Yes,True,7.0,7.0,3.0,28,F,Turkey
2019,True,No,No,No,No,No,Somewhat easy,No,False,1.0,1.0,1.0,42,M,India
2019,True,I don't know,,No,No,I don't know,I don't know,Maybe,False,5.0,5.0,4.0,35,F,Brazil
2019,False,Yes,Yes,No,Yes,Yes,Somewhat difficult,No,False,3.0,1.0,3.0,40,M,United States of America
2019,False,Yes,Yes,Yes,No,I don't know,Somewhat difficult,No,False,7.0,5.0,2.0,54,F,United States of America
2019,True,Yes,No,No,No,I don't know,Very easy,Yes,False,5.0,9.0,3.0,37,M,United States of America
2019,False,Yes,Yes,I don't know,Yes,Yes,Somewhat difficult,No,True,10.0,8.0,4.0,26,F,United States of America
2019,False,I don't know,No,No,No,I don't know,I don't know,No,False,6.0,0.0,1.0,37,M,Brazil
2019,False,Yes,Yes,No,No,I don't know,Somewhat easy,No,False,6.0,0.0,1.0,49,F,United States of America
2019,False,I don't know,No,Yes,Yes,Yes,Somewhat easy,Maybe,False,9.0,8.0,4.0,23,M,United States of America
2019,True,Yes,No,Yes,Yes,Yes,Very easy,Yes,True,8.0,8.0,3.0,42,F,United Kingdom
2019,True,Yes,No,Yes,Yes,Yes,Difficult,No,True,8.0,4.0,2.0,49,M,Netherlands
2019,True,I don't know,No,Yes,Yes,I don't know,Somewhat difficult,No,False,6.0,6.0,3.0,41,F,United Kingdom
2019,True,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,True,8.0,8.0,3.0,33,M,United Kingdom
2019,True,Yes,Yes,Yes,I don't know,I don't know,Somewhat easy,Yes,True,5.0,5.0,2.0,27,M,United States of America
2019,False,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,No,False,7.0,7.0,1.0,47,M,United Kingdom
2019,True,I don't know,No,Yes,No,Yes,Somewhat difficult,Maybe,False,8.0,3.0,2.0,28,M,United States of America
2019,True,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,False,6.0,4.0,1.0,49,F,Canada
2019,False,I don't know,No,No,No,Yes,Somewhat difficult,No,False,6.0,5.0,3.0,23,M,United Kingdom
2019,False,Yes,Yes,Yes,I don't know,Yes,I don't know,Maybe,False,10.0,6.0,1.0,23,NB,United States of America
2019,True,No,,I don't know,No,Yes,Very easy,Yes,True,10.0,10.0,1.0,45,M,United States of America
2019,True,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Yes,True,6.0,7.0,2.0,29,M,United States of America
2019,True,I don't know,No,No,I don't know,I don't know,Somewhat easy,Maybe,False,3.0,3.0,1.0,40,M,United States of America
2019,True,Yes,No,No,No,I don't know,I don't know,No,False,2.0,2.0,2.0,32,M,United States of America
2019,True,Yes,Yes,Yes,I don't know,I don't know,Difficult,Yes,True,7.0,4.0,2.0,22,F,United States of America
2019,True,Yes,Yes,Yes,I don't know,Yes,Very easy,Yes,True,8.0,8.0,2.0,28,M,United States of America
2019,True,I don't know,No,Yes,I don't know,I don't know,I don't know,No,False,5.0,4.0,1.0,29,F,United States of America
2019,True,Yes,No,No,I don't know,I don't know,I don't know,Maybe,False,5.0,5.0,3.0,38,F,United States of America
2019,True,I don't know,No,No,I don't know,I don't know,Very easy,No,False,6.0,5.0,2.0,30,M,United States of America
2019,False,Yes,Yes,I don't know,Yes,I don't know,Neither easy nor difficult,No,False,8.0,5.0,2.0,37,F,United States of America
2019,True,Yes,Yes,Yes,Yes,I don't know,Difficult,Maybe,False,10.0,5.0,2.0,38,F,United States of America
2019,True,Yes,Yes,Yes,Yes,I don't know,Difficult,Maybe,True,8.0,5.0,1.0,51,F,United States of America
2019,False,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,True,10.0,8.0,2.0,39,M,United States of America
2019,False,Yes,No,I don't know,I don't know,I don't know,I don't know,Yes,False,7.0,8.0,3.0,22,M,United States of America
2019,True,Yes,Yes,I don't know,Yes,Yes,Very easy,No,True,7.0,5.0,3.0,26,M,United States of America
2019,False,I don't know,No,No,No,No,Somewhat easy,No,False,5.0,1.0,1.0,42,M,United States of America
2019,False,Not eligible for coverage / NA,No,Yes,No,I don't know,I don't know,No,True,5.0,2.0,1.0,49,M,United Kingdom
2019,True,Yes,No,Yes,Yes,Yes,Very easy,Yes,False,8.0,8.0,3.0,48,M,United Kingdom
2019,False,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,False,7.0,8.0,3.0,25,M,Germany
2019,True,Not eligible for coverage / NA,,No,No,I don't know,Very easy,Maybe,True,4.0,8.0,5.0,31,M,Israel
2019,True,Yes,No,No,Yes,Yes,Neither easy nor difficult,Maybe,False,8.0,8.0,3.0,63,M,United States of America
2019,True,No,No,No,No,I don't know,Difficult,No,False,7.0,5.0,3.0,30,F,Turkey
